accuracy,f1,precision,recall
0.7753623188405797,0.7731225296442688,0.7810371922472499,0.7753623188405797
0.7846153846153846,0.7858576895346904,0.7904395604395605,0.7846153846153846
0.782608695652174,0.7835775448438769,0.7875017180556192,0.782608695652174
0.7610062893081762,0.7606648697214736,0.7612908008599462,0.7610062893081762
0.78,0.7781903642773208,0.7781818181818181,0.78
0.8,0.8002658690594884,0.8010610079575596,0.8
0.7730061349693251,0.7731975808206066,0.7734475672385875,0.7730061349693251
0.7913669064748201,0.791587437201024,0.7918905382023496,0.7913669064748201
0.8255813953488372,0.8260524619427778,0.8267520782910661,0.8255813953488372
0.7899159663865546,0.7908152345621133,0.7945011337868481,0.7899159663865546
0.7833333333333333,0.7845454545454547,0.7927063073075854,0.7833333333333333
0.8070175438596491,0.8071105634632285,0.8072589288300552,0.8070175438596491
0.759493670886076,0.7600085889161288,0.7607684210744857,0.759493670886076
0.7942857142857143,0.7963428571428572,0.8058493752110774,0.7942857142857143
0.8020304568527918,0.802490744095636,0.8062966764924705,0.8020304568527918
0.7642857142857142,0.7650684181718663,0.7790774540774541,0.7642857142857142
0.8073394495412844,0.807046677071191,0.80798320634427,0.8073394495412844
0.7540983606557377,0.7535138262374018,0.7533391446165959,0.7540983606557377
0.7795698924731183,0.7784139406341801,0.7784130236705133,0.7795698924731183
0.7900552486187845,0.7896307279818003,0.7909536001437362,0.7900552486187845
0.7857142857142857,0.7863455693242927,0.7874813988095237,0.7857142857142857
0.7675675675675676,0.7689147553337174,0.7713912850561813,0.7675675675675676
0.8085106382978723,0.808315395944262,0.8097727272727273,0.8085106382978723
0.8024691358024691,0.8029555901394186,0.8044217397474102,0.8024691358024691
0.7973856209150327,0.8000713475773674,0.8223723301122682,0.7973856209150327
0.8357142857142857,0.8351198903346143,0.8353111694899901,0.8357142857142857
0.8333333333333334,0.8336118072960178,0.8357414096508289,0.8333333333333334
0.7784431137724551,0.7763016054077909,0.7811209264639039,0.7784431137724551
0.8066666666666666,0.8067792157389578,0.8069636786544999,0.8066666666666666
0.8193548387096774,0.819521095133221,0.819960553118567,0.8193548387096774
0.8043478260869565,0.8041704820743455,0.8040784095131921,0.8043478260869565
0.864406779661017,0.8647991211550534,0.8671795672889167,0.864406779661017
0.8373493975903614,0.8352213041976682,0.8438543819290105,0.8373493975903614
0.7843137254901961,0.7842307692307692,0.7847516365036581,0.7843137254901961
0.7444444444444445,0.7445707070707072,0.7454320987654321,0.7444444444444445
0.8466666666666667,0.8464820018734109,0.846977992485239,0.8466666666666667
0.831081081081081,0.8311042174896441,0.8318104405775639,0.831081081081081
0.7692307692307693,0.76993006993007,0.7712009271331305,0.7692307692307693
0.7792207792207793,0.7801242236024846,0.7833914053426247,0.7792207792207793
0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154
0.8029197080291971,0.8019580801475288,0.8031758227686003,0.8029197080291971
0.7909090909090909,0.7922756981580511,0.7948347107438017,0.7909090909090909
0.8014705882352942,0.8017247306336126,0.8020665961254588,0.8014705882352942
0.8295454545454546,0.8289131377366672,0.8291569541569541,0.8295454545454546
0.8652482269503546,0.8656202981138603,0.8667809731639519,0.8652482269503546
0.8125,0.8129605747973471,0.8150079520430633,0.8125
0.7454545454545455,0.7462327075098814,0.7475054496331092,0.7454545454545455
0.8298969072164949,0.829322405403576,0.8298688440676748,0.8298969072164949
0.8115183246073299,0.8117979402796156,0.813678484190411,0.8115183246073299
0.8260869565217391,0.8264541715628673,0.8282096325574586,0.8260869565217391
0.7981651376146789,0.7995093247104827,0.8056832350149803,0.7981651376146789
0.8251748251748252,0.8258082178476684,0.8271754235368789,0.8251748251748252
0.8136645962732919,0.8152490809988592,0.8191209248417486,0.8136645962732919
0.783625730994152,0.7833128468730212,0.7834851474269168,0.783625730994152
0.7796610169491526,0.7803823648103309,0.7815559532582378,0.7796610169491526
0.88,0.8804235017319129,0.8818701298701298,0.88
0.7175572519083969,0.7173241721280679,0.7171750316413477,0.7175572519083969
0.823943661971831,0.8230063849098751,0.824160480122112,0.823943661971831
0.8092485549132948,0.8085568927991648,0.8122971154720721,0.8092485549132948
0.7979274611398963,0.7966045828221374,0.7963961463506256,0.7979274611398963
0.8188405797101449,0.818945888256527,0.8191374118683902,0.8188405797101449
0.7899159663865546,0.7903621625641407,0.7935954042634004,0.7899159663865546
0.8309859154929577,0.8306080384747508,0.8305659975782815,0.8309859154929577
0.8502673796791443,0.8503701709516758,0.8535875888817065,0.8502673796791443
0.8235294117647058,0.8243121442125239,0.8257402921184468,0.8235294117647058
0.7712418300653595,0.7708878522395418,0.7711301912069175,0.7712418300653595
0.8032786885245902,0.8035962370499742,0.8078001057641461,0.8032786885245902
0.768595041322314,0.7682783952376427,0.7696485332848969,0.768595041322314
0.822429906542056,0.8226508237471046,0.8230165042752039,0.822429906542056
0.7960526315789473,0.7952928013656758,0.7962794918330309,0.7960526315789473
0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
0.8251748251748252,0.8253492230747954,0.8256050997986483,0.8251748251748252
0.8117647058823529,0.8131786307512293,0.8328061823398983,0.8117647058823529
0.7642857142857142,0.7626433179723502,0.7674486363090233,0.7642857142857142
0.8560606060606061,0.8546180908895554,0.8614364801864801,0.8560606060606061
0.8214285714285714,0.823006780453589,0.8293087557603686,0.8214285714285714
0.7469135802469136,0.7467687884434009,0.7471371039998491,0.7469135802469136
0.8,0.8003970223325062,0.8012658227848101,0.8
0.855,0.8540838168923276,0.855333193848729,0.855
0.8194444444444444,0.8197628845776994,0.8203993055555556,0.8194444444444444
0.8345864661654135,0.8345864661654135,0.8345864661654135,0.8345864661654135
0.75,0.7485221674876847,0.753003003003003,0.75
0.8146067415730337,0.8153528749740888,0.817390229991567,0.8146067415730337
0.84251968503937,0.84251968503937,0.84251968503937,0.84251968503937
0.7730496453900709,0.7729583172795639,0.7778637438211907,0.7730496453900709
0.7771428571428571,0.7771865703357415,0.777281045751634,0.7771428571428571
0.7796610169491526,0.7745856411110649,0.7815864318760692,0.7796610169491526
0.8055555555555556,0.8061321098244848,0.8079534633378876,0.8055555555555556
0.7535211267605634,0.7532324069192339,0.7530192385680224,0.7535211267605634
0.8228571428571428,0.8238475252325962,0.8274773960216999,0.8228571428571428
