cpu,memory
2.7,55.1
2.5,55.1
3.3,55.1
7.4,55.1
6.1,55.7
5.4,55.7
5.2,55.1
4.2,55.7
8.2,55.1
7.0,55.2
9.0,55.1
6.3,55.1
6.6,55.1
4.1,57.1
4.2,55.3
5.3,55.3
5.7,55.1
16.2,55.1
1.9,55.1
8.1,55.1
6.8,55.1
7.5,55.1
5.9,55.1
7.3,58.3
6.8,55.1
5.9,55.7
5.8,56.6
6.9,55.1
8.2,56.2
7.4,55.7
8.5,55.1
6.8,55.2
4.6,56.0
1.4,55.2
2.8,55.1
7.7,56.0
6.2,55.1
7.3,55.7
8.6,55.1
8.7,55.1
5.1,55.1
3.5,55.1
9.8,55.1
5.0,55.1
6.9,56.3
5.3,55.1
2.6,55.7
7.2,55.7
8.9,55.2
5.1,55.7
8.0,55.8
6.7,55.2
1.4,55.3
6.8,56.4
7.9,55.1
5.0,55.1
3.2,55.0
7.3,55.1
8.7,55.1
3.5,55.1
6.1,55.1
6.4,55.1
8.1,56.3
3.5,55.0
1.6,55.1
7.8,56.5
6.2,55.7
6.2,55.1
11.6,56.3
7.4,55.2
3.0,55.3
6.2,55.2
7.1,55.1
3.8,55.0
7.8,55.9
7.0,55.0
3.2,55.1
7.7,55.0
7.1,55.0
8.0,55.1
8.1,55.1
4.7,57.1
2.0,55.1
5.9,55.1
7.0,56.6
6.2,55.5
3.4,55.2
4.3,55.8
2.9,55.2
7.1,55.8
6.5,55.2
4.6,55.2
5.2,55.2
6.7,55.6
6.4,55.3
6.8,55.1
8.6,55.1
2.6,55.1
7.6,55.1
8.4,56.3
6.3,55.1
4.6,55.1
7.3,55.1
5.8,56.0
3.0,55.0
4.3,56.4
5.7,55.7
5.5,57.0
8.9,57.0
5.4,55.1
1.4,55.2
4.7,55.1
8.7,56.7
5.5,55.0
6.9,55.2
4.7,55.0
2.7,55.0
5.9,55.0
6.3,55.6
8.6,55.0
4.3,55.0
9.3,56.2
5.1,55.0
2.9,55.0
6.0,55.7
5.9,55.0
8.4,55.1
6.6,55.2
4.9,55.3
7.3,55.0
8.0,56.9
4.1,55.0
7.3,55.1
8.6,55.0
5.1,55.1
8.2,55.0
7.2,55.0
5.1,57.6
4.4,55.1
6.8,55.1
8.3,56.9
4.6,55.1
7.3,56.9
7.1,55.1
5.8,56.8
8.2,57.6
7.8,55.2
3.0,55.3
2.0,55.0
4.6,56.9
6.6,55.1
6.4,55.0
10.5,55.0
4.9,55.1
5.4,55.1
6.3,55.0
6.4,56.9
4.9,55.0
4.7,55.1
6.3,56.2
6.3,55.0
3.8,56.8
8.7,55.1
6.0,56.4
7.9,55.8
