Algorithm,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8826786185077775,0.12179487179487179,0.6263736263736264,0.2039355992844365
XG Boost,0.9717901397310835,0.3181818181818182,0.15384615384615385,0.2074074074074074
