Algorithm,Accuracy,Precision,Recall,F1-Score
ANN NB,0.9667809122066966,0.27848101265822783,0.24175824175824176,0.25882352941176473
NB,0.6525177959398892,0.03557910673732021,0.5164835164835165,0.06657223796033994
FTNB,0.6585815976799367,0.0362095531587057,0.5164835164835165,0.06767458603311735
SVM,0.8803058265225415,0.12422360248447205,0.6593406593406593,0.20905923344947736
DT,0.9143158449775903,0.072992700729927,0.21978021978021978,0.1095890410958904
Logistic Regression,0.8826786185077775,0.12179487179487179,0.6263736263736264,0.2039355992844365
XG Boost,0.9717901397310835,0.3181818181818182,0.15384615384615385,0.2074074074074074
ANN,0.967835486422357,0.2987012987012987,0.25274725274725274,0.27380952380952384
