Algorithm,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8349784864591243,0.8806117414898865,0.8132118451025057,0.8455708195168167
XG Boost,0.8177676537585421,0.852702056432329,0.8123006833712985,0.8320111992533831
