Algorithm,Accuracy,Precision,Recall,F1-Score
ANN NB,0.8491521133890154,0.8867924528301887,0.8350797266514807,0.8601595495072736
NB,0.6438876233864844,0.7086864406779662,0.6095671981776766,0.6554004408523145
FTNB,0.6459124272336118,0.7004028197381672,0.6337129840546697,0.6653910547715858
SVM,0.841812199443179,0.8972672064777328,0.8077448747152619,0.8501558379285543
DT,0.6886864085041762,0.7332044465925568,0.6911161731207289,0.7115384615384616
Logistic Regression,0.8349784864591243,0.8806117414898865,0.8132118451025057,0.8455708195168167
XG Boost,0.8177676537585421,0.852702056432329,0.8123006833712985,0.8320111992533831
ANN,0.8466211085801063,0.8904176904176904,0.8255125284738041,0.8567375886524823
