Algorithm,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8742969628796401,0.8217391304347826,0.849438202247191,0.8353591160220994
XG Boost,0.8543307086614174,0.8208955223880597,0.7827715355805244,0.8013803680981595
