Algorithm,Accuracy,Precision,Recall,F1-Score
ANN NB,0.8810461192350956,0.8454545454545455,0.8359550561797753,0.8406779661016949
NB,0.7125984251968503,0.6112295664534471,0.6441947565543071,0.6272793581327498
FTNB,0.6881327334083239,0.5629877369007804,0.7565543071161048,0.6455736657078939
SVM,0.8771091113610798,0.8296622613803231,0.846441947565543,0.8379681127178347
DT,0.733127109111361,0.6347765363128491,0.6808988764044944,0.6570292735814962
Logistic Regression,0.8742969628796401,0.8217391304347826,0.849438202247191,0.8353591160220994
XG Boost,0.8543307086614174,0.8208955223880597,0.7827715355805244,0.8013803680981595
ANN,0.8807649043869517,0.853923853923854,0.8232209737827715,0.8382913806254767
