cpu,memory
5.4,46.0
4.5,46.1
8.3,46.2
5.7,46.0
9.0,46.0
4.1,46.1
8.4,46.1
3.4,46.1
5.5,45.9
3.9,46.0
5.0,46.1
3.3,46.1
6.1,46.2
3.4,46.1
5.2,46.2
4.9,46.4
3.9,46.2
4.3,46.3
4.3,46.2
3.8,46.2
5.0,46.2
3.2,46.4
6.2,46.3
4.3,46.4
4.7,46.3
4.1,46.0
6.1,46.2
3.9,46.2
5.6,46.3
4.6,46.1
4.0,46.1
5.0,46.1
7.1,46.1
3.2,45.9
4.3,45.9
5.2,45.9
6.8,46.1
4.6,46.3
4.7,46.0
2.6,46.2
3.6,46.1
1.8,46.0
7.0,46.0
4.0,46.0
6.4,46.2
3.7,46.2
5.8,46.0
5.1,46.2
6.0,46.0
4.7,46.2
7.1,46.4
5.9,46.3
8.4,46.4
5.1,46.8
6.2,46.7
5.6,46.7
6.7,46.6
6.0,46.6
3.8,46.6
3.7,46.3
4.5,46.3
3.4,46.3
6.8,46.3
5.5,46.3
5.3,46.3
6.6,46.3
5.5,46.5
5.4,46.4
4.3,46.5
5.4,46.6
4.0,46.5
5.4,46.6
5.4,46.3
6.6,46.5
5.3,46.7
6.3,46.4
4.4,46.4
8.6,46.4
5.2,46.4
7.5,46.5
4.1,46.5
7.3,46.5
5.5,46.6
10.2,46.5
3.1,46.6
7.4,46.4
4.3,46.5
7.4,46.6
3.5,46.5
3.8,46.3
3.7,46.4
6.0,46.4
3.9,46.5
5.4,46.4
4.6,46.4
6.5,46.4
3.9,46.5
7.2,46.7
3.1,46.4
3.8,46.5
2.4,46.6
5.7,46.4
5.1,46.4
4.8,46.5
3.5,46.6
5.4,46.5
4.4,46.5
8.1,46.7
4.8,46.6
5.6,46.7
4.2,46.6
4.8,46.5
7.2,46.4
5.7,46.4
5.8,46.3
4.8,46.5
5.4,46.5
7.3,46.3
3.5,46.3
4.1,46.5
3.4,46.6
4.2,46.5
4.1,46.3
4.6,46.4
4.5,46.5
8.0,46.7
3.8,46.6
5.7,46.7
5.7,46.2
6.9,45.5
4.0,45.4
4.8,45.6
6.5,45.7
5.1,45.6
3.6,45.7
4.1,45.4
5.1,45.4
4.1,45.6
2.8,45.8
4.9,45.4
4.8,45.4
4.7,45.7
4.9,45.4
6.2,45.5
5.0,45.6
5.3,45.4
8.4,45.4
9.3,45.5
6.3,45.3
4.4,45.6
5.8,45.5
4.1,45.3
7.5,45.5
4.5,45.7
5.9,45.5
4.2,45.3
6.5,45.5
5.0,45.5
4.6,45.4
3.0,45.4
5.4,45.6
4.8,45.6
5.5,45.7
5.0,45.6
7.2,45.6
7.2,45.6
6.2,45.4
7.5,45.7
5.6,45.8
5.3,45.4
6.2,45.6
6.5,45.6
4.7,45.6
5.2,45.7
4.7,45.6
4.1,45.7
6.4,45.6
4.8,45.4
3.4,45.4
5.0,45.7
3.8,45.4
4.4,45.4
3.8,45.4
6.3,45.7
5.6,45.5
5.6,45.5
5.3,45.6
5.2,45.5
3.5,45.6
3.6,45.5
4.0,45.7
5.5,45.6
4.5,45.6
4.9,45.5
4.4,45.6
4.6,45.7
4.0,45.5
5.4,45.7
5.7,45.7
6.1,45.7
5.4,45.4
5.9,45.5
3.3,46.3
4.1,46.3
1.2,46.4
1.9,46.6
0.8,47.0
2.8,46.7
1.7,47.0
2.9,47.0
1.7,47.6
2.9,47.5
3.3,47.6
2.6,47.6
3.1,47.8
2.6,47.7
0.3,48.2
3.3,48.2
1.4,48.1
3.7,48.4
0.9,48.8
3.0,48.6
1.7,48.8
4.3,48.7
0.3,48.9
2.3,49.2
0.8,49.5
3.6,49.5
2.1,49.6
4.4,50.0
1.5,49.9
5.8,49.9
2.7,50.1
3.6,50.3
0.8,50.4
4.2,50.5
0.5,50.7
1.8,50.8
1.6,50.9
7.6,49.7
14.5,51.1
10.9,52.3
10.9,51.1
12.2,54.9
11.5,53.3
13.5,56.8
14.4,59.7
15.2,62.6
15.4,65.5
13.8,69.0
14.2,72.5
26.3,83.9
13.2,61.6
11.5,62.4
13.2,63.4
9.6,64.3
8.4,65.3
7.6,66.2
5.0,67.6
8.9,49.8
17.2,54.7
11.7,54.8
10.5,52.4
10.2,53.3
13.0,63.9
19.2,92.8
15.0,53.8
8.1,53.8
9.3,53.9
8.8,53.9
9.0,34.5
13.6,38.8
13.6,43.5
9.9,48.9
11.5,53.7
20.0,92.9
15.0,54.3
8.2,54.3
9.9,54.3
9.4,35.7
14.5,40.3
9.3,45.0
13.7,49.3
9.5,53.6
12.4,72.2
21.5,92.6
10.8,54.1
8.0,54.0
8.6,54.1
9.2,54.0
16.9,34.7
10.1,39.8
9.3,45.3
9.5,50.5
9.4,56.4
21.4,91.2
10.5,52.7
8.5,52.6
8.2,52.6
7.9,35.0
11.0,39.2
10.8,44.2
10.1,49.0
10.9,54.3
11.8,58.7
10.9,66.6
11.2,74.5
7.1,83.6
16.0,91.3
90.8,91.2
92.2,91.2
93.3,91.3
94.6,91.6
93.1,91.1
90.1,91.1
88.9,91.1
88.4,91.2
91.4,91.2
69.9,91.2
85.7,91.2
78.1,91.2
75.9,91.2
82.6,91.5
82.7,91.5
51.8,91.5
18.9,72.4
37.1,72.6
75.9,72.9
82.8,73.1
87.3,73.2
95.0,73.2
93.8,73.4
94.0,73.2
96.4,73.2
93.8,73.3
93.2,73.2
90.6,73.1
93.9,73.0
97.3,73.1
95.7,73.2
97.9,73.0
94.0,73.0
72.1,57.7
13.1,72.7
10.1,72.3
6.6,72.3
6.8,53.1
54.5,67.0
45.7,92.5
6.9,99.9
11.9,99.4
8.3,100.0
4.0,100.0
3.4,99.6
13.8,99.9
5.4,100.0
3.5,99.7
6.6,99.8
3.5,100.0
4.8,99.7
9.6,100.0
3.5,100.0
10.2,99.9
5.2,100.0
5.8,99.7
7.7,99.7
4.6,99.6
9.0,100.0
6.1,99.4
5.3,91.6
11.8,50.5
9.1,63.6
1.4,68.5
9.7,74.5
11.6,75.8
8.5,79.3
10.3,59.5
7.3,57.9
3.1,59.8
4.9,62.6
3.3,65.1
5.3,69.9
9.0,74.6
9.5,82.9
13.5,45.7
9.5,55.1
15.5,82.7
18.4,79.2
15.1,95.8
15.9,71.7
17.7,77.9
44.1,78.6
49.8,78.6
51.5,78.6
49.4,78.6
50.2,78.7
47.9,78.8
