cpu,memory
2.9,49.9
5.0,49.9
1.8,49.6
3.3,49.8
1.8,49.7
2.9,49.8
1.8,49.8
2.4,49.9
3.0,49.9
3.1,49.7
2.6,49.8
2.3,49.8
3.5,49.5
4.9,49.6
3.3,49.7
3.4,49.7
4.3,49.8
2.8,49.6
2.4,49.6
3.7,49.8
4.2,49.8
4.4,50.1
4.2,50.0
6.6,50.0
5.5,50.0
5.5,49.9
4.7,49.6
3.9,49.7
4.4,49.6
3.1,49.8
4.5,49.6
3.0,49.7
4.6,49.8
5.1,49.7
4.1,49.6
4.5,49.7
3.7,49.7
3.5,49.6
1.6,49.5
3.4,49.6
5.6,50.4
1.7,50.4
5.9,50.7
4.7,50.7
8.3,51.0
2.1,51.1
3.4,50.8
7.0,50.9
3.9,51.0
3.1,51.1
3.2,51.1
6.8,50.9
5.6,51.2
4.2,51.0
7.0,50.9
5.0,50.9
6.3,50.7
7.6,51.0
3.4,51.0
3.5,51.0
2.7,50.8
2.5,51.0
4.5,50.9
2.1,50.8
1.2,51.1
2.3,50.9
2.4,50.9
2.9,50.9
3.6,50.8
3.3,50.7
5.9,50.7
3.3,50.8
3.8,50.7
4.1,50.7
2.6,50.9
1.3,50.7
2.7,50.7
2.0,50.7
2.9,50.8
5.6,50.8
4.6,50.8
3.8,50.6
2.5,50.8
3.9,50.7
5.1,50.9
3.0,50.8
3.1,50.9
3.5,50.9
3.3,50.9
3.0,50.9
2.6,50.9
2.5,51.0
7.5,50.7
5.0,51.0
4.8,50.6
3.1,50.8
1.7,50.6
3.5,50.8
2.8,50.9
3.9,50.9
5.9,51.0
2.4,50.8
5.6,51.1
5.7,50.8
4.4,50.7
4.9,50.9
5.1,50.6
2.5,50.6
3.7,50.7
3.3,50.8
3.2,50.7
3.6,50.7
5.2,50.7
3.3,50.7
3.5,50.7
3.5,50.7
3.3,50.8
3.8,50.7
5.5,50.8
2.7,50.8
7.5,50.7
5.1,50.5
6.1,50.6
4.2,50.9
3.3,51.1
3.3,51.1
4.6,50.9
3.5,51.0
5.1,51.5
3.0,51.4
3.2,51.5
1.9,51.6
4.1,51.8
8.2,51.5
10.2,51.6
7.6,51.6
12.0,51.8
8.1,51.9
10.3,51.7
9.8,51.8
8.1,52.0
8.2,52.3
10.6,52.4
6.2,52.1
6.9,52.1
7.5,52.2
8.1,52.2
7.9,52.3
9.3,52.5
8.8,52.4
8.9,52.7
9.3,52.2
8.9,52.4
7.0,52.3
8.9,52.3
8.9,52.6
9.0,52.6
9.3,52.3
7.6,52.4
7.6,52.6
7.2,52.5
4.5,52.5
6.9,52.6
6.8,52.7
6.6,52.6
5.7,52.4
6.3,52.5
7.1,52.9
6.2,52.6
5.1,52.9
4.2,52.7
4.2,53.0
6.5,52.8
4.8,52.8
6.2,53.0
7.1,53.0
4.4,52.9
5.6,53.6
8.2,53.7
8.9,53.3
7.1,53.5
6.6,53.3
4.9,53.8
4.7,53.8
3.8,53.3
8.6,52.9
9.5,53.0
11.0,52.8
9.6,52.6
7.4,52.8
4.1,53.0
6.3,53.0
5.4,53.1
8.5,53.0
8.9,53.1
9.5,53.2
6.2,53.2
8.2,53.3
5.8,53.4
8.4,53.6
9.1,53.4
7.0,54.5
6.3,54.7
7.5,55.1
7.1,55.4
7.0,55.7
8.7,56.0
12.0,56.2
6.1,56.7
7.5,56.8
7.2,57.3
9.2,57.6
9.1,57.8
8.4,58.3
7.5,58.3
7.1,58.5
8.9,58.9
8.8,59.0
7.3,59.9
6.4,59.7
8.0,60.1
7.6,60.2
8.9,60.4
8.5,60.7
7.8,60.8
7.4,61.0
8.0,61.4
9.5,61.7
7.2,61.8
7.8,62.2
6.6,62.6
7.9,62.7
9.8,63.0
11.8,63.2
10.5,63.3
10.4,63.5
9.7,63.7
8.1,64.1
7.5,64.2
6.9,64.4
11.7,66.1
19.2,65.8
17.1,64.5
19.7,67.2
19.1,66.4
16.1,64.8
16.7,68.0
17.4,71.4
18.7,74.6
17.0,79.0
18.9,81.7
18.4,85.3
22.9,97.3
11.8,97.9
20.0,81.3
19.5,62.8
18.2,63.9
13.8,64.6
10.4,66.2
11.9,67.7
11.9,69.7
11.4,70.7
18.3,52.0
20.2,52.3
17.1,50.7
15.5,49.7
15.5,49.8
20.2,52.1
25.3,90.0
16.6,51.5
13.7,51.6
13.7,51.8
14.1,51.8
14.9,52.2
16.7,35.3
15.2,39.4
19.7,43.0
17.9,46.5
17.2,50.2
15.0,55.6
22.5,91.8
16.1,53.2
14.7,53.3
13.7,53.4
13.0,53.6
14.4,53.7
18.9,37.3
14.6,41.6
17.1,46.1
16.6,50.7
19.6,54.7
18.3,93.4
10.4,54.8
8.8,54.9
7.4,55.0
7.9,55.0
7.6,36.3
7.0,41.6
8.8,46.8
9.2,51.6
9.1,56.2
17.6,93.5
12.8,54.9
10.6,54.9
9.1,54.9
9.9,56.7
10.0,56.8
10.7,39.8
12.5,44.2
9.6,49.1
9.7,54.3
8.8,58.7
8.5,66.4
9.1,73.8
8.0,81.8
6.9,90.0
35.8,95.3
92.9,95.4
93.7,95.3
94.0,95.2
94.7,95.1
95.6,95.0
94.7,95.0
93.8,94.9
91.3,94.9
83.9,94.9
79.0,94.9
83.7,94.9
78.5,95.0
73.6,94.9
61.7,95.3
53.5,95.8
21.6,76.8
32.5,76.7
61.7,76.7
83.0,76.9
83.1,76.9
91.1,76.9
81.0,76.9
96.0,77.0
97.1,77.0
97.1,77.5
97.1,77.8
97.8,77.6
96.6,77.5
96.0,77.5
97.0,77.6
96.7,77.7
97.1,78.1
99.9,77.8
18.3,76.8
18.4,77.8
18.7,77.8
16.9,77.1
9.3,58.1
80.2,80.6
14.0,98.0
17.2,99.8
7.2,99.9
13.7,100.0
12.5,99.6
7.1,100.0
10.3,100.0
3.4,100.0
4.2,99.7
4.6,100.0
4.3,99.7
8.8,100.0
4.5,100.0
4.6,99.7
9.3,100.0
4.1,100.0
11.5,99.9
10.2,99.7
10.8,100.0
3.7,100.0
8.3,100.0
3.2,100.0
1.5,100.0
1.0,100.0
3.7,97.8
11.8,94.4
4.5,90.2
1.5,91.3
3.7,91.9
1.3,92.3
2.0,87.4
2.1,89.9
2.7,91.8
9.9,54.3
8.2,59.1
3.7,61.5
3.9,65.1
9.1,77.9
15.4,81.6
11.9,80.8
9.9,63.0
7.8,62.7
3.9,66.6
2.4,70.5
3.8,74.5
3.9,78.8
6.3,83.5
16.9,94.0
11.9,75.3
10.5,51.9
10.3,77.9
14.8,76.5
12.4,98.2
11.8,73.9
11.7,80.6
30.9,80.8
39.7,80.6
32.0,79.0
37.6,79.4
45.1,79.9
42.0,80.6
44.0,81.0
48.6,81.0
42.1,81.2
42.3,81.2
38.8,81.3
33.5,81.3
35.2,81.3
45.2,81.3
47.7,81.3
47.9,81.3
50.1,81.3
49.0,81.3
43.9,81.5
43.4,81.4
36.5,81.4
40.2,81.5
39.3,81.5
44.6,81.6
49.7,81.6
47.5,81.7
48.3,81.7
47.3,81.8
48.1,81.8
45.9,81.8
34.1,81.9
38.6,81.9
30.9,81.9
39.8,81.9
48.2,81.9
49.7,81.8
48.2,81.8
48.7,81.9
46.5,81.9
40.2,81.9
38.1,81.9
41.6,81.9
35.8,82.0
41.1,82.0
48.0,82.0
48.6,82.0
48.5,82.0
48.5,82.0
47.3,82.0
40.6,82.2
44.6,82.2
36.9,82.6
32.6,82.6
38.8,82.6
47.6,82.6
49.5,82.5
49.0,82.6
47.0,82.6
45.4,82.7
37.9,82.7
42.8,82.7
34.4,82.6
37.4,82.6
43.3,82.6
46.6,82.6
49.7,82.7
44.7,82.7
47.0,82.8
48.2,82.8
47.4,82.7
46.3,82.8
41.7,82.7
32.8,82.8
36.5,82.6
45.2,82.7
48.5,82.8
47.8,82.8
47.5,82.7
47.3,83.0
36.6,82.8
40.9,82.7
40.2,82.7
37.6,82.7
41.8,82.7
48.4,82.7
47.5,82.7
49.0,82.8
49.0,83.0
48.0,82.9
41.8,82.9
43.8,82.9
38.7,82.9
38.0,82.9
41.9,83.0
48.3,83.0
46.3,83.0
46.8,82.9
48.2,82.9
50.9,83.0
45.6,83.0
47.3,82.9
39.1,82.8
37.2,82.8
43.1,82.8
45.5,82.8
48.1,82.8
47.4,82.8
48.4,82.9
48.7,82.9
46.3,82.8
43.9,82.9
40.6,82.7
39.9,82.7
42.0,82.7
47.0,82.7
49.3,82.7
48.2,82.7
46.8,82.7
49.9,82.7
46.8,82.8
44.6,82.8
42.3,82.7
44.3,82.7
40.9,82.7
46.1,82.7
47.2,82.7
49.5,82.7
48.4,82.7
48.0,82.7
46.3,82.7
47.7,82.7
42.8,82.8
38.9,82.8
41.4,82.8
44.0,82.8
48.1,82.8
47.6,82.7
47.6,82.7
48.2,82.7
44.4,82.7
41.6,82.7
35.6,82.7
39.9,82.7
39.3,82.7
44.1,82.7
