cpu,memory
4.5,29.8
4.0,29.9
5.3,29.8
4.8,29.9
3.3,29.9
3.9,30.0
3.6,29.9
3.9,29.8
4.6,29.9
4.2,29.9
4.0,29.9
4.5,29.9
4.5,29.8
3.9,30.1
4.4,29.9
2.9,29.8
3.3,29.8
3.4,30.0
4.3,29.9
3.4,29.9
3.6,29.9
3.7,29.9
4.6,29.9
3.8,30.0
4.8,30.0
3.9,29.8
3.7,29.9
4.3,29.9
4.3,29.9
4.4,29.9
4.5,29.9
4.2,29.9
3.0,30.0
3.2,30.3
4.4,30.0
4.1,29.9
4.0,29.9
3.5,29.9
4.2,29.9
3.7,29.9
4.2,29.9
4.2,29.9
4.0,29.9
3.2,29.9
4.4,30.0
4.0,30.1
3.9,30.1
5.1,30.1
3.7,30.0
4.5,30.0
4.8,30.0
4.0,30.0
3.8,30.0
3.8,30.1
3.8,30.0
3.7,30.0
3.5,30.0
3.8,30.0
4.0,30.2
4.0,29.9
4.0,30.0
3.8,30.0
3.8,30.0
4.0,30.0
4.0,30.0
4.2,29.9
3.9,30.0
3.3,30.0
3.6,30.0
4.1,30.1
3.7,30.0
4.3,30.0
4.1,30.0
3.9,30.1
4.3,30.0
3.3,30.0
3.6,30.0
3.1,30.0
3.7,30.0
4.0,30.1
3.6,30.0
3.7,30.0
3.4,30.0
3.9,30.1
3.8,30.1
3.8,30.0
4.3,30.2
3.7,30.1
4.3,30.1
4.5,30.2
3.6,30.1
2.8,30.3
3.2,30.1
3.8,30.0
3.6,30.1
4.0,30.1
4.6,30.0
3.9,30.1
4.2,30.1
3.4,30.1
4.3,30.1
3.2,30.0
3.8,30.0
3.2,30.0
4.1,30.1
3.9,30.1
3.2,30.2
4.1,30.1
4.5,30.2
3.9,30.1
4.4,30.1
4.3,30.1
4.3,30.1
4.1,30.1
4.5,30.0
4.1,30.2
3.8,30.2
3.3,30.1
3.7,30.1
3.9,30.2
4.1,30.1
4.0,30.1
4.3,30.2
4.3,30.2
4.0,30.2
3.6,30.2
3.9,30.2
5.1,30.2
3.8,30.2
3.8,30.1
4.3,30.2
3.5,30.2
3.3,30.1
4.3,30.3
4.0,30.2
4.1,30.2
4.0,30.2
3.6,30.2
4.2,30.2
4.0,30.2
3.9,30.1
4.2,30.1
3.9,30.3
3.7,30.2
3.6,30.2
4.0,30.1
5.0,30.1
4.0,30.2
3.3,30.2
4.2,30.2
3.3,30.4
4.1,30.2
3.8,30.2
4.3,30.3
4.4,30.2
3.5,30.2
4.0,30.2
4.2,30.2
4.3,30.2
4.2,30.1
4.6,30.3
4.5,30.3
4.5,30.3
4.5,30.3
3.0,30.2
3.7,30.3
4.9,30.2
4.8,30.3
4.9,30.2
4.5,30.3
4.4,30.3
4.5,30.3
4.2,30.3
4.3,30.3
3.7,30.3
3.6,30.3
4.1,30.3
4.8,30.2
3.8,30.2
4.0,30.2
4.3,30.3
4.3,30.3
4.2,30.3
3.6,30.2
3.7,30.3
3.2,30.3
4.4,30.3
4.1,30.3
4.4,30.4
4.1,30.3
3.9,30.5
2.8,30.6
1.5,30.8
2.2,30.9
1.7,30.9
1.2,31.1
2.1,31.2
2.6,31.2
2.0,31.4
1.0,31.4
1.6,31.5
1.6,31.6
1.5,31.6
2.2,31.8
1.3,31.8
2.0,31.9
1.7,32.1
1.9,32.2
3.5,32.6
6.3,33.0
7.4,32.9
9.1,36.2
9.3,39.4
15.6,56.8
10.2,40.6
10.2,40.5
10.3,40.6
9.2,33.7
9.3,36.7
10.2,39.8
16.6,55.8
10.2,39.3
8.9,39.3
10.0,39.4
8.6,32.1
8.9,35.5
10.4,38.6
15.0,55.8
10.7,40.0
16.6,39.9
16.5,39.9
19.6,32.3
15.9,35.5
16.7,38.5
15.8,48.3
18.2,57.0
9.9,40.5
9.6,40.5
11.5,40.5
7.8,32.6
9.0,35.6
9.2,38.8
8.1,46.0
15.7,57.1
9.4,40.5
9.8,40.6
9.9,40.5
8.6,33.4
9.2,36.7
9.2,39.8
9.7,43.4
10.3,48.7
11.7,53.5
43.2,57.0
87.3,56.8
89.9,57.1
87.9,57.0
72.4,57.0
78.7,57.0
67.0,57.0
71.1,57.0
69.2,57.0
39.0,57.0
9.9,57.2
8.2,48.9
41.4,48.8
69.4,48.8
69.5,49.1
75.0,48.9
88.7,48.8
76.5,49.0
80.0,48.8
87.4,49.0
91.7,48.8
61.9,46.6
9.7,48.9
10.4,48.8
9.8,48.7
7.5,40.8
70.1,58.8
15.8,63.8
17.0,67.8
17.7,54.5
16.5,59.0
13.7,44.3
11.4,47.1
11.0,49.9
10.3,57.9
6.9,43.7
10.7,54.2
10.0,56.5
62.6,57.7
100.0,57.7
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.7
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.7
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.7
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
99.7,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.7
99.4,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
99.5,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.7
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
100.0,57.6
99.9,57.7
100.0,57.7
100.0,57.7
100.0,57.8
99.5,57.7
100.0,57.7
99.6,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
99.9,57.7
100.0,57.7
99.9,57.8
100.0,57.7
100.0,57.7
100.0,57.7
99.9,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.7
99.9,57.7
100.0,57.7
100.0,57.7
100.0,57.7
99.9,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.8
99.4,57.7
99.4,57.8
100.0,57.7
100.0,57.7
100.0,57.7
99.2,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
99.6,57.8
100.0,57.7
99.8,57.7
99.2,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.7
99.6,57.7
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.7
99.9,57.7
99.9,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
99.6,57.8
99.8,57.8
99.8,57.8
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
99.6,57.8
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
99.4,57.8
100.0,57.7
100.0,57.8
99.4,57.7
99.9,57.7
100.0,57.8
99.6,57.7
100.0,57.8
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.8
100.0,57.8
99.5,57.8
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
99.9,57.8
100.0,57.7
100.0,57.7
99.9,57.7
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.7
99.5,57.7
100.0,57.8
100.0,57.7
99.7,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
99.6,57.7
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.9
100.0,57.8
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.9
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
99.9,57.7
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
99.9,57.8
100.0,57.8
99.7,57.7
100.0,57.8
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.7
99.4,57.8
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
99.9,57.8
100.0,57.7
99.9,57.8
99.8,57.8
100.0,57.8
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
99.6,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.7
100.0,57.7
99.5,57.7
99.7,57.8
100.0,57.7
100.0,57.7
99.1,57.7
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
99.8,57.7
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
99.9,57.8
100.0,57.8
99.7,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.7
100.0,57.7
100.0,57.7
100.0,58.2
99.6,58.2
100.0,58.2
100.0,58.2
100.0,58.2
99.9,58.2
100.0,58.2
100.0,58.0
100.0,57.7
100.0,57.7
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.8
100.0,57.7
100.0,53.6
100.0,50.1
100.0,49.3
100.0,49.3
100.0,49.3
100.0,49.3
100.0,49.3
100.0,49.3
100.0,49.3
100.0,49.3
100.0,49.4
100.0,49.3
100.0,49.3
100.0,49.3
99.7,49.3
100.0,49.3
100.0,49.4
100.0,49.3
100.0,49.3
100.0,49.3
99.5,49.3
100.0,49.4
100.0,49.4
99.7,49.3
100.0,49.3
100.0,49.3
100.0,49.4
99.7,49.4
100.0,49.3
100.0,49.3
99.4,49.3
100.0,49.3
100.0,49.3
100.0,49.7
99.7,49.1
100.0,49.1
100.0,49.1
100.0,49.2
99.8,49.1
100.0,49.2
100.0,49.2
100.0,49.1
100.0,49.2
99.9,49.2
100.0,49.0
100.0,49.0
100.0,49.0
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.0
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.0
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.0
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.0
100.0,49.1
100.0,49.2
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.2
100.0,49.1
99.5,49.1
100.0,49.1
100.0,49.1
99.4,49.1
100.0,49.1
100.0,49.1
99.8,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.2
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
99.8,49.2
100.0,49.1
99.7,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
99.7,49.1
100.0,49.1
100.0,49.2
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.2
100.0,49.2
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
99.6,49.2
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.2
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.2
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.2
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
100.0,49.1
