cpu,memory
3.7,43.0
1.9,44.4
3.6,44.1
3.6,43.0
3.6,43.6
1.8,43.2
3.7,43.1
4.4,43.2
2.9,44.4
3.7,43.0
4.0,43.0
2.2,44.6
3.9,42.9
4.7,43.2
2.6,44.0
3.8,43.0
7.8,43.1
6.1,44.0
2.4,42.8
5.4,44.8
1.9,42.8
4.3,43.4
3.5,43.2
3.3,43.4
4.3,43.0
8.4,45.4
2.4,42.8
4.8,43.2
2.4,44.6
2.5,42.8
4.7,43.0
2.1,45.0
2.5,42.8
3.1,42.8
1.6,45.3
3.1,42.8
4.0,42.8
2.6,45.4
3.1,42.9
3.2,42.8
1.9,45.2
2.2,42.8
2.1,44.3
0.9,43.9
2.3,42.8
3.9,44.5
2.4,42.8
5.5,43.1
3.0,43.6
2.3,43.6
3.0,42.8
3.2,43.3
3.0,43.5
4.7,42.9
3.2,42.8
2.7,43.6
3.6,42.8
3.1,45.3
1.6,43.1
2.6,42.8
4.1,44.7
3.2,42.8
3.7,43.0
3.9,43.5
2.8,43.7
3.1,42.8
3.4,42.8
6.1,45.0
3.5,43.3
4.9,43.5
4.6,45.7
2.8,43.3
3.5,44.3
1.9,45.1
2.8,43.6
2.6,43.3
2.9,45.0
3.0,43.3
3.3,43.6
1.9,45.8
1.5,43.3
5.6,43.3
2.9,45.7
2.2,43.3
3.4,43.3
2.6,44.9
3.3,43.3
2.1,46.5
1.3,44.0
3.5,43.6
3.4,45.3
2.3,43.5
3.2,43.5
3.0,46.5
3.2,43.6
3.6,44.0
2.4,46.4
2.4,43.5
2.6,43.5
3.0,45.9
3.7,43.6
4.3,43.8
4.3,45.3
2.9,43.9
4.0,43.5
5.0,44.1
3.0,44.4
3.3,43.8
3.3,43.6
3.2,45.8
2.4,43.5
5.0,43.8
3.6,45.5
3.5,43.9
3.5,43.5
3.5,45.1
1.7,44.0
5.2,43.5
3.2,44.2
3.6,43.5
4.5,43.5
3.5,43.6
3.7,44.5
3.6,43.5
3.3,46.2
2.0,43.5
3.1,43.5
3.8,45.5
2.2,43.7
3.9,43.5
3.2,44.4
2.0,44.4
4.4,43.5
4.5,44.4
3.0,43.5
3.0,43.8
2.8,43.5
4.3,44.5
2.7,43.7
4.0,43.5
4.8,43.8
3.5,44.6
3.6,43.5
3.3,43.4
3.4,44.9
2.0,44.1
4.3,43.5
3.1,44.6
2.5,44.0
3.6,43.5
4.1,45.1
2.5,43.8
3.5,43.7
3.7,44.6
2.0,43.5
3.1,43.5
2.5,46.6
1.9,43.5
4.8,43.5
1.5,46.5
3.2,43.5
4.1,44.8
1.6,43.5
4.2,43.5
2.3,46.0
1.2,43.5
3.4,43.5
2.9,46.4
2.4,43.5
4.7,44.0
2.0,45.3
2.1,43.8
2.7,43.5
3.4,45.6
2.7,43.9
3.8,43.5
3.1,45.7
2.4,43.9
1.9,43.3
4.5,45.5
3.3,43.4
5.4,43.3
2.0,45.8
1.4,43.4
3.7,43.4
2.0,45.6
2.6,43.7
3.6,43.3
2.7,45.3
4.0,43.6
3.3,43.3
3.6,45.6
2.2,43.4
4.2,43.3
2.0,46.0
2.4,43.3
3.8,43.4
1.4,44.5
2.8,43.3
3.4,43.6
2.5,44.4
3.5,43.4
2.3,45.5
1.9,43.5
5.1,43.5
4.1,45.8
2.7,43.6
2.5,43.4
4.5,45.8
2.4,43.8
3.3,43.4
3.2,46.4
2.0,43.5
2.7,43.5
1.9,46.0
1.7,43.5
4.6,43.9
2.0,44.9
3.0,43.5
3.3,43.5
1.9,45.3
3.4,43.5
4.1,43.9
2.6,46.0
1.9,43.5
3.8,43.5
2.9,45.6
4.0,43.5
4.3,43.8
1.7,45.9
3.2,43.5
3.7,43.5
2.1,46.2
2.0,43.6
4.6,43.6
2.1,44.9
3.6,43.6
4.0,44.7
1.6,43.6
3.4,43.5
2.6,46.8
2.3,43.6
2.7,43.5
3.8,45.4
3.8,44.2
2.4,43.8
3.7,43.5
3.5,44.8
4.3,43.8
3.3,43.6
3.6,45.0
2.0,43.9
1.3,43.6
2.8,45.2
2.6,43.9
5.1,43.6
2.4,45.7
1.9,43.5
2.1,43.5
2.1,46.1
1.3,43.5
5.1,43.5
3.3,46.1
3.2,43.5
3.5,43.5
2.6,45.6
3.2,43.5
4.6,44.2
2.3,44.3
2.9,43.5
2.7,44.3
2.8,44.0
3.5,43.6
2.3,43.9
3.2,45.8
3.0,43.5
3.6,43.5
3.0,44.8
4.2,43.5
3.6,43.8
3.2,45.9
4.8,43.5
3.5,46.0
3.5,44.1
6.2,43.9
4.7,46.1
3.9,44.2
4.0,43.9
5.1,45.6
3.0,43.9
5.6,43.9
2.2,45.8
0.8,43.8
5.2,43.9
3.4,45.9
2.9,43.9
4.3,43.9
2.7,45.5
1.1,43.8
3.7,43.8
3.6,45.6
2.9,43.9
2.0,44.5
2.0,45.5
2.4,43.8
4.2,43.8
3.2,45.3
4.5,43.9
4.7,43.9
3.4,45.2
2.9,44.7
3.8,43.8
4.3,43.8
3.1,44.7
4.0,43.7
4.1,43.7
1.9,44.5
2.4,45.0
2.5,43.9
3.4,43.6
3.9,45.1
4.3,44.1
2.9,44.0
4.8,43.9
4.1,45.1
2.6,43.5
3.1,43.8
3.7,45.1
3.2,43.5
4.6,43.5
2.0,45.0
3.3,43.4
3.0,43.4
2.5,45.2
4.7,43.7
5.1,43.7
