cpu,memory
4.4,42.8
2.0,40.6
2.4,40.7
4.8,41.2
11.8,40.6
2.0,40.7
2.7,40.8
1.2,40.8
3.1,40.6
3.3,40.5
3.3,40.8
3.9,40.6
4.0,40.6
2.0,40.6
3.1,40.5
4.1,40.5
3.3,40.6
6.6,40.5
5.9,43.0
5.3,40.6
6.2,40.7
5.9,40.8
4.3,40.8
3.7,40.9
2.6,40.8
2.4,40.8
2.8,40.5
3.6,40.6
3.3,40.6
2.5,40.6
2.5,40.9
2.1,40.7
3.1,40.6
3.5,40.6
3.4,40.6
7.1,40.6
3.7,40.9
5.2,40.8
3.3,41.4
5.6,41.4
5.7,40.8
4.3,40.8
1.9,40.9
3.9,40.9
4.6,41.5
2.7,40.8
3.3,40.7
2.9,40.8
2.5,40.7
3.1,40.7
3.4,40.7
3.0,40.7
4.7,40.7
6.3,40.8
4.1,40.7
5.8,40.7
3.9,41.1
3.1,41.5
7.0,40.7
4.7,40.8
3.9,40.9
2.9,41.0
2.9,40.8
4.6,40.8
4.1,40.8
4.1,40.7
2.6,40.8
3.3,40.7
3.7,41.7
4.3,40.7
2.5,40.8
5.4,42.1
5.5,41.2
3.3,41.4
5.0,40.8
6.2,43.7
5.2,40.9
3.1,41.3
3.5,41.3
4.5,39.5
7.4,39.0
5.2,39.1
6.7,39.1
2.7,39.2
2.5,39.1
4.5,39.1
5.1,39.6
4.8,41.7
5.7,39.2
1.4,39.3
4.4,39.3
3.9,39.9
5.2,39.4
7.7,40.1
2.8,39.5
6.2,40.7
1.9,39.5
3.4,39.6
10.4,39.5
2.1,39.7
3.3,40.0
3.1,40.0
3.3,39.4
3.3,39.3
6.9,40.0
1.5,39.5
2.1,39.3
3.8,39.4
5.2,39.5
6.4,40.7
7.3,42.6
3.5,39.6
1.6,39.8
2.1,39.5
6.2,40.0
3.3,39.6
5.1,40.8
2.1,39.7
2.8,39.6
2.8,39.6
2.7,39.6
6.0,40.2
2.6,39.6
3.0,39.6
2.7,40.4
8.0,39.6
4.1,40.4
5.8,40.7
4.5,39.9
1.6,39.9
4.2,39.7
4.5,42.7
7.5,40.0
4.5,40.2
4.3,40.0
1.1,39.9
2.5,39.9
3.7,39.8
6.8,40.4
2.5,39.9
2.7,39.8
2.8,39.8
4.2,40.4
4.8,40.6
6.4,39.8
2.2,39.9
1.5,40.6
2.8,40.3
5.0,39.7
6.9,40.3
7.6,39.8
3.5,39.9
1.4,39.9
2.4,40.4
3.4,39.8
5.4,39.7
5.1,39.7
2.1,39.8
4.4,39.8
5.8,44.0
5.4,42.4
8.9,41.4
4.9,39.9
2.3,40.0
2.9,39.8
6.1,42.0
3.7,40.1
7.6,40.1
3.4,40.0
2.8,40.1
1.3,39.8
2.5,39.8
3.5,39.8
6.0,40.4
2.5,40.5
2.1,39.9
2.7,39.8
2.9,39.8
5.0,39.8
7.0,40.6
1.6,40.0
3.3,39.8
5.4,41.1
5.1,39.9
7.0,39.9
7.3,40.0
2.2,40.1
2.6,40.3
1.1,40.3
1.7,40.4
1.0,40.5
1.1,40.6
